duygu,atasözü_deyim,anlam
neşeli olmak,Gönlü şen olmak,İçi sevinçle dolu olmak.
özverili,Gözünü kırpmamak,Hiç tereddüt etmeden yardım etmek.
özverili,Fedakarlık yapmak,Kendinden vermek.
kibirli olmak,Havalara girmek,Aşırı gururlanmak.
kibirli olmak,Burnu büyümek,Kendini beğenmek.
alçakgönüllü olmak,Yere bakmak,Kibir göstermemek.
alçakgönüllü olmak,Mütevazı olmak,Gösterişsiz davranmak.
yalnız olmak,Issız kalmak,Yapayalnız olmak.
yalnız olmak,Tek başına kalmak,Kimsesiz hissetmek.
cesaret etmek,Gözünü karartmak,Risk almak.
cesaret etmek,Yüreklilik göstermek,Korkusuz davranmak.
hırslı davranmak,Pes etmemek,Azimle devam etmek.
hırslı davranmak,Gözü dönmek,Aşırı istek duymak.
pişmanlık duymak,Geriye bakmak,Geçmişe hayıflanmak.
pişmanlık duymak,Ah vah etmek,Üzüntüyle sızlanmak.
üzüntü,İçi burkulmak,Üzüntüyle sarsılmak.
üzüntü,Gözleri dolmak,Üzüntüden ağlamaklı olmak.
sevinç,Sevinçten havalara uçmak,Çok mutlu olup heyecanlanmak.
sevinç,Gözleri ışıl ışıl olmak,Yüz ifadesinden sevincin belli olması.
